==27324== NVPROF is profiling process 27324, command: ./aes_device images/lena.bmp 96 image_output/encrypted_lena.bmp image_output/decrypted_lena.bmp
==27324== Some kernel(s) will be replayed on device 4 in order to collect all events/metrics.
==27324== Profiling application: ./aes_device images/lena.bmp 96 image_output/encrypted_lena.bmp image_output/decrypted_lena.bmp
==27324== Profiling result:
==27324== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 1080 Ti (4)"
    Kernel: aes_decrypt_shared(unsigned char*, int, int)
          1                             inst_per_warp                                                 Instructions per warp  1.5640e+03  1.5640e+03  1.5640e+03
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      97.89%      97.89%      97.89%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.002229    0.002229    0.002229
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    4.000000    4.000000    4.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    4.000000    4.000000    4.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                                  Global Load Transactions Per Request    4.480026    4.480026    4.480026
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   16.000000   16.000000   16.000000
          1                 shared_store_transactions                                             Shared Store Transactions      540672      540672      540672
          1                  shared_load_transactions                                              Shared Load Transactions      540672      540672      540672
          1                   local_load_transactions                                               Local Load Transactions           0           0           0
          1                  local_store_transactions                                              Local Store Transactions           0           0           0
          1                          gld_transactions                                              Global Load Transactions      344066      344066      344066
          1                          gst_transactions                                             Global Store Transactions      393216      393216      393216
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions      615941      615941      615941
          1                     l2_write_transactions                                                 L2 Write Transactions      393229      393229      393229
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  7.6276GB/s  7.6276GB/s  7.6276GB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  3.9485GB/s  3.9485GB/s  3.9485GB/s
          1                            gld_throughput                                                Global Load Throughput  98.529GB/s  98.529GB/s  98.529GB/s
          1                            gst_throughput                                               Global Store Throughput  63.176GB/s  63.176GB/s  63.176GB/s
          1                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      28.40%      28.40%      28.40%
